Usuario,Caso,Marcador,Tarjeta,Fecha y hora de transacci—n,Monto,Comercio,Modo de Entrada,Ind Com Elec
999rpga,162241097,NF,1234567890112135,01/11/21 12:17 AM,484.63,IMCBILL.COM,E,7
999rpga,162241109,NF,1234567890112136,01/11/21 12:12 AM,103.68,GOGETDOC COM,E,7
999rpga,162241271,NF,1234567890112137,01/11/21 12:00 AM,103.68,GOGETDOC COM,E,7
999rpga,162241533,NF,1234567890112138,01/11/21 12:05 AM,99,AMAZON MX,E,7
999rpga,162241601,NF,1234567890112139,01/11/21 12:00 AM,5034.22,BBVA NO/INFORMADO,V,
999rpga,162241873,NF,1234567890112140,01/11/21 12:01 AM,6088.93,PAYU LA*KIWI COM,E,7
999rpga,162241873,NF,1234567890112141,01/11/21 12:13 AM,2120.58,Hotel at Booking.com,E,7
999rpga,162241945,NF,1234567890112142,01/11/21 12:00 AM,435,ST*STRIPE 2,K,0
999rpga,162243289,NF,1234567890112155,01/11/21 12:17 AM,299,CONEKTA*GESTIONIX,E,7
999rpga,162245217,NF,1234567890112158,01/11/21 01:56 AM,2.5,BP*KUSHKI MSI,E,7
999rpga,162245233,NF,1234567890112134,01/11/21 01:36 AM,1216.15,PAYPAL3,K,
999rpga,162245337,NF,1234567890112130,01/11/21 01:42 AM,839,VPASS RECUR MXN,K,0
999rpga,162245485,NF,1234567890112135,01/11/21 01:17 AM,0,TEACHABLE COURSES,E,7
999rpga,162245541,NF,1234567890112136,01/11/21 01:18 AM,160.37,ST*CORNERSHOP,K,0
999rpga,162245579,NF,1234567890112137,01/11/21 01:31 AM,20,AMAZON MX,E,7
999rpga,162245931,NF,1234567890112138,01/11/21 02:17 AM,950,ST*STRIPE 2,K,0
999rpga,162246013,NF,1234567890112139,01/11/21 02:04 AM,4160.9,JLCPCB.COM,E,7
999rpga,162246161,NF,1234567890112140,01/11/21 02:15 AM,2623.6,LINKEDIN-719*4667394,,2
999rpga,162246273,NF,1234567890112141,01/11/21 02:17 AM,950,ST*STRIPE 2,K,0
999rpga,162246469,NF,1234567890112142,01/11/21 01:53 AM,8.36,BP*KUSHKI MSI,E,7
999rpga,162246571,NF,1234567890112155,01/11/21 06:58 AM,1,IZZI APP PAGO 3,E,6
999bgsa,162246653,NF,1234567890112158,01/11/21 06:58 AM,510,IZZI APP PAGO,K,0
999bgsa,162246653,NF,1234567890112134,01/11/21 07:05 AM,500,PAGO MI TELMEX,E,6
999bgsa,162246703,NF,1234567890112130,01/11/21 06:10 AM,10,DIDI MX,E,7
999bgsa,162246771,NF,1234567890112135,01/11/21 05:18 AM,20,GOOGLE *TEMPORARY HOLD,E,7
999bgsa,162246739,NF,1234567890112136,01/11/21 06:23 AM,3000,PAYPAL *FACEBOOK FACEB,E,7
999bgsa,162246841,NF,1234567890112137,01/11/21 07:17 AM,3236.11,ST*STRIPE 2,K,0
999bgsa,162246921,NF,1234567890112138,01/11/21 07:23 AM,20,AMAZON MX,E,7
999bgsa,162246919,NF,1234567890112139,01/11/21 07:22 AM,49515.19,Approved Turbo Compone,K,1
